R, bias, L, W, Gain
68758.2, 1.30741, 7.70822e-06, 5.80885e-06, 11.5766 
53603.6, 1.10469, 6.12474e-06, 9.47094e-06, 9.21369 
19389.6, 1.1304, 6.78608e-06, 6.57946e-06, -7.50539 
43600, 1.07982, 4.03758e-06, 9.81882e-06, 10.8291 
2149.66, 1.67654, 4.50598e-06, 2.19795e-06, 13.5926 
53657.6, 1.51497, 6.41086e-06, 1.33572e-06, -3.7939 
1263.11, 1.27009, 2.7374e-06, 1.69657e-06, 19.1658 
73105.1, 0.616661, 3.15742e-07, 5.35785e-06, -14.5834 
40064.7, 1.25337, 6.90921e-06, 7.37893e-06, 7.2532 
8205.45, 1.04236, 8.59093e-07, 8.51799e-06, 0.505198 
44541.6, 1.29406, 5.10573e-06, 6.37721e-06, 11.8257 
14275.7, 0.670217, 7.47291e-06, 4.41756e-06, 11.1911 
15489.8, 1.39537, 2.51847e-07, 3.28199e-06, 23.1193 
87828, 1.66092, 6.11911e-06, 9.82978e-06, 29.7344 
21587.2, 1.01141, 1.12852e-06, 1.90533e-06, -10.3847 
19966.4, 0.680564, 1.59928e-06, 7.09761e-07, 13.234 
57360.8, 0.716012, 1.27805e-06, 6.1753e-06, -19.719 
15643.8, 0.829473, 3.1115e-06, 6.87284e-06, -7.6682 
75784.1, 1.31559, 9.4548e-06, 9.08427e-06, 15.7416 
89818.8, 0.900105, 1.8304e-06, 7.40346e-06, 13.6228 
90016.9, 1.57536, 1.92047e-06, 9.89049e-06, 38.277 
76521.9, 1.04997, 7.55141e-06, 4.15818e-06, -12.294 
54979, 0.672042, 6.35831e-06, 3.81499e-06, -0.490594 
6891.84, 0.801986, 6.00595e-06, 8.57625e-06, 3.84102 
68316.5, 0.804377, 8.18508e-06, 2.57376e-06, -2.32257 
52912.7, 1.69157, 1.15106e-06, 4.81019e-06, 33.54 
53850.9, 0.946738, 4.23524e-06, 8.30491e-06, 1.28872 
48957, 1.23698, 2.65056e-06, 2.60525e-06, 6.25486 
64474.4, 1.2568, 4.63492e-06, 8.74215e-06, 18.9678 
78303.5, 1.1636, 3.49388e-06, 8.89143e-06, 20.7317 
683.92, 0.84368, 8.35429e-06, 8.62554e-06, 25.62 
78771.5, 1.50603, 9.03206e-06, 1.75605e-06, 1.85535 
85512.4, 0.667447, 7.41686e-06, 2.11017e-06, 2.83606 
3736.19, 1.63095, 2.28188e-06, 3.38231e-06, -0.0600859 
48526.1, 1.07238, 8.42046e-06, 1.12035e-06, 3.73238 
91207.6, 0.649333, 7.76582e-06, 7.22094e-06, -7.66631 
10784.8, 1.37505, 7.80651e-06, 5.55209e-06, -2.16784 
36692.4, 1.05189, 2.14024e-06, 1.24369e-06, -6.39472 
16500.5, 1.38775, 9.77266e-07, 3.18002e-06, 12.1944 
46495, 0.776458, 9.3532e-06, 9.50169e-06, -8.97965 
56525.2, 1.51072, 1.67842e-06, 9.11127e-07, 9.22553 
25289.1, 0.695304, 9.80034e-07, 1.82834e-06, -1.92081 
45388.8, 0.956732, 6.14548e-06, 1.81224e-06, -1.47564 
