R, bias, L, W, Gain [dB], UGF [Hz], PM [degrees]
31718.2,0.734476,3.09595e-07,9.91241e-06,21.6268, 1.1769e+08, 94.3434
17024.8,0.813852,1.88572e-07,9.96696e-06,8.10589, 1.71405e+08, 112.825
28389,0.733326,2.50111e-07,9.93705e-06,23.1228, 1.255e+08, 93.6551
55218.9,0.690013,3.33303e-07,9.98565e-06,24.4652, 7.34082e+07, 93.0102
56295.9,0.852055,1.69568e-07,9.83363e-06,error, error, error
16192,0.763545,2.68829e-07,9.99185e-06,21.9146, 1.78115e+08, 94.2377
9118.32,0.810991,2.89011e-07,9.83447e-06,19.8147, 2.34971e+08, 95.4686
6969.45,0.822828,1.70862e-07,9.8733e-06,19.3755, 3.31149e+08, 95.8962
68628.8,0.692097,2.48295e-07,9.83582e-06,24.1136, 6.50446e+07, 93.2864
52345.2,0.687727,3.42045e-07,9.94882e-06,24.5388, 7.25505e+07, 92.9845
2831.02,0.70559,1.62735e-07,9.97144e-06,8.88556, 1.57311e+08, 110.844
25649.2,0.733222,3.42998e-07,9.98867e-06,22.9939, 1.23594e+08, 93.619
12641.8,0.748504,1.1965e-06,9.83845e-06,13.7266, 6.09922e+07, 100.752
14507.4,0.765852,2.02557e-07,9.83774e-06,20.993, 2.01222e+08, 94.8043
39297.3,0.711873,3.16025e-07,9.98684e-06,23.6658, 9.73947e+07, 93.3448
54841.8,0.687598,3.34251e-07,9.99517e-06,24.5587, 7.20766e+07, 92.9568
56520.5,0.687649,8.71199e-07,9.9958e-06,23.8655, 4.82899e+07, 92.7146
16192,0.763545,1.50621e-07,9.99185e-06,18.421, 2.05758e+08, 96.6435
56197.4,0.685875,3.38919e-07,9.97793e-06,24.6204, 7.0226e+07, 92.9378
12962.9,0.786585,1.83819e-07,9.97079e-06,21.1869, 2.32114e+08, 94.7241
6529.71,0.684954,1.60747e-07,9.9559e-06,13.1847, 1.2421e+08, 102.419
28552.8,0.734935,6.50457e-07,9.91582e-06,22.62, 8.56754e+07, 93.5004
56014.9,0.688075,3.41934e-07,9.94452e-06,24.5696, 7.13743e+07, 92.9623
28389,0.709786,2.50111e-07,9.43714e-06,22.2486, 9.59436e+07, 94.1339
23029.4,0.734349,2.47965e-07,9.63595e-06,22.5426, 1.30521e+08, 93.9465
33826,0.718823,3.15737e-07,8.48232e-06,23.3772, 9.18562e+07, 93.5612
25768.8,0.83274,3.07887e-07,9.98128e-06,error, error, error
28389,0.733326,2.47783e-07,9.93705e-06,23.0668, 1.25947e+08, 93.6991
17402.9,0.822828,1.76872e-07,9.88503e-06,4.36193, 1.36831e+08, 127.075
8330.99,0.746998,3.95378e-07,9.8341e-06,16.7987, 1.40487e+08, 97.8291
24523.3,0.837737,1.66125e-07,9.96027e-06,error, error, error
2840.45,0.693908,1.53622e-07,9.97852e-06,9.45519, 1.71165e+08, 109.546
7540.48,0.969289,1.72862e-07,9.91632e-06,error, error, error
3499.74,0.853527,1.54755e-07,9.84102e-06,16.0666, 4.39097e+08, 98.7899
32080.7,0.750448,3.07996e-07,9.81623e-06,11.4853, 1.04214e+08, 104.948
61212.6,0.815327,3.12313e-07,9.93692e-06,error, error, error
6695.21,0.811158,1.81995e-07,9.99082e-06,19.6227, 3.11184e+08, 95.7113
24410.9,0.734236,2.88314e-07,9.97793e-06,22.949, 1.32531e+08, 93.6945
53739.3,0.702227,2.73617e-07,9.93705e-06,23.7622, 8.09124e+07, 93.3813
27081.9,0.728466,2.47965e-07,9.91582e-06,22.9822, 1.22717e+08, 93.7338
54070.7,0.687723,3.94491e-07,9.97806e-06,24.711, 6.94145e+07, 92.8576
53293.4,0.687713,9.33309e-07,9.93632e-06,23.1492, 4.62741e+07, 92.9753
54869.4,0.687445,2.72892e-07,9.5702e-06,24.1186, 6.7952e+07, 93.2638
23153.6,0.734341,2.89784e-07,9.83651e-06,22.8233, 1.32531e+08, 93.7589
8544.65,0.811995,1.70251e-07,9.83412e-06,19.7824, 3.00306e+08, 95.5999
40618.6,0.73432,3.07343e-07,9.90631e-06,12.0182, 9.0739e+07, 104.093
56849.5,0.687869,4.08894e-07,9.5611e-06,24.7466, 6.50575e+07, 92.8913
53873.1,0.671855,2.33661e-07,9.98693e-06,22.5017, 5.78762e+07, 94.0379
54392.4,0.730544,3.3537e-07,9.83516e-06,2.5853, 4.19866e+07, 138.173
54392.4,0.690927,3.93362e-07,9.97864e-06,24.5971, 7.12771e+07, 92.8916
31502.5,0.719343,1.60157e-07,9.82547e-06,20.7466, 1.18653e+08, 95.0301
26373.2,0.725884,3.07887e-07,9.96603e-06,23.1619, 1.20948e+08, 93.595
14507.4,0.690938,3.36971e-07,9.83774e-06,17.4183, 8.83458e+07, 97.3311
51026.7,0.687601,5.91713e-07,9.93725e-06,24.2814, 5.83935e+07, 92.8391
6129.71,0.617244,1.60747e-07,8.80581e-06,3.98045, 3.30386e+07, 129.068
56197.4,0.687422,1.65152e-07,9.95968e-06,21.6483, 6.99754e+07, 94.5496
55216.9,0.690929,3.15699e-07,9.92118e-06,24.4012, 7.39308e+07, 93.0837
21385,0.68778,2.74333e-07,9.83845e-06,19.6528, 8.39151e+07, 95.6693
55656.6,0.687648,1.53239e-07,9.97796e-06,20.1229, 7.66105e+07, 95.4496
24410.9,0.790915,2.90366e-07,9.97793e-06,1.23357, 5.22435e+07, 149.972
28303.4,0.720865,2.7059e-07,9.82936e-06,23.1436, 1.14035e+08, 93.6545
24348.6,0.687134,3.86453e-07,9.97731e-06,20.5665, 7.79786e+07, 94.9607
21452.5,0.747719,2.71834e-07,9.83845e-06,22.5563, 1.48773e+08, 93.9089
22989.5,0.73632,3.34251e-07,9.94282e-06,22.8111, 1.30207e+08, 93.7023
54072.4,0.690013,3.32976e-07,9.98565e-06,24.4834, 7.39038e+07, 93.0299
52812.6,0.687745,3.62493e-07,9.93644e-06,24.6098, 7.14129e+07, 92.9299
63134.4,0.687601,6.09139e-07,9.9577e-06,25.0728, 5.61119e+07, 92.4878
31416.3,0.723361,2.74521e-07,9.81251e-06,23.3895, 1.13019e+08, 93.5369
8314.23,0.796095,1.50324e-07,9.96746e-06,17.8561, 3.01551e+08, 97.0933
13835.2,0.770417,1.73932e-07,9.87135e-06,21.1594, 2.08089e+08, 94.759
57160.4,0.766533,4.08894e-07,9.57352e-06,error, error, error
58027.2,0.607452,2.41323e-07,9.98421e-06,16.2729, 2.0361e+07, 98.6746
31852.8,0.721329,1.44444e-06,9.84312e-06,18.784, 4.48834e+07, 95.1731
24780.9,0.734385,2.81126e-07,9.93667e-06,22.9638, 1.32087e+08, 93.7157
28394.8,0.734863,2.90144e-07,9.91309e-06,22.8116, 1.26e+08, 93.7755
53088.8,0.687565,6.95872e-07,9.97829e-06,24.1826, 5.44266e+07, 92.7734
7047.49,0.732307,1.67664e-07,9.98457e-06,16.5758, 1.8528e+08, 98.2633
25756.5,0.730888,3.08978e-07,9.53266e-06,23.0211, 1.20705e+08, 93.6675
7070.34,0.767132,1.52724e-07,9.96738e-06,17.9579, 2.81013e+08, 97.0233
19294.3,0.820181,1.35786e-06,9.99375e-06,18.353, 7.38903e+07, 95.4303
7928.42,0.733438,2.86075e-07,9.93261e-06,16.8179, 1.53658e+08, 97.9267
57535.1,0.911518,4.03554e-07,9.95143e-06,error, error, error
18285,0.723128,3.07887e-07,9.83658e-06,21.436, 1.24822e+08, 94.4794
3450.29,0.857111,1.7007e-07,9.83325e-06,16.9041, 4.26422e+08, 97.9424
35308.3,0.839472,2.74242e-07,9.99995e-06,error, error, error
33815.2,0.682921,2.76784e-07,9.61368e-06,21.8, 7.2128e+07, 94.306
54864.7,0.691513,3.3537e-07,9.91292e-06,24.4108, 7.39474e+07, 93.0606
55456.1,0.687534,3.42045e-07,9.94915e-06,24.5892, 7.12747e+07, 92.9496
6110.41,0.837737,1.29332e-06,9.66262e-06,9.84965, 7.7738e+07, 107.516
52785,0.687742,3.34251e-07,9.66365e-06,24.4834, 7.07381e+07, 93.0379
8260.54,0.825269,1.87666e-07,9.98275e-06,19.5749, 3.12927e+08, 95.7291
16874.5,0.748329,3.61435e-07,9.93699e-06,21.8073, 1.43281e+08, 94.1839
26897,0.725884,3.08247e-07,9.91317e-06,23.1938, 1.19732e+08, 93.5744
11366.5,0.810552,1.81039e-07,7.52369e-06,20.3959, 2.11315e+08, 95.2591
16236.1,0.702443,1.73028e-07,9.99732e-06,18.5544, 1.06122e+08, 96.513
32026.2,0.72151,3.07905e-07,9.99829e-06,23.4165, 1.1155e+08, 93.4647
16192,0.763545,2.68829e-07,9.64804e-06,21.8858, 1.72414e+08, 94.2475
25768.8,0.691271,3.07887e-07,9.98194e-06,21.4406, 8.7506e+07, 94.4767
4776.27,0.85395,3.15852e-07,9.91555e-06,17.0125, 2.78119e+08, 97.6841
55194.3,0.687171,3.62493e-07,9.94762e-06,24.6576, 7.02882e+07, 92.904
54392.4,0.767848,1.9869e-07,9.90761e-06,error, error, error
26871.2,0.730778,3.17134e-07,9.96603e-06,23.0919, 1.23339e+08, 93.5925
25756.5,0.855822,3.07887e-07,9.98128e-06,error, error, error
6969.45,0.822828,3.44651e-07,9.97458e-06,18.5647, 2.31889e+08, 96.315
53952.7,0.673408,3.84596e-07,9.9723e-06,24.2749, 6.04225e+07, 93.0529
26666.7,0.743218,2.72473e-07,9.96539e-06,22.3469, 1.36192e+08, 93.9871
7393.51,0.888737,5.60356e-07,9.9683e-06,16.476, 1.82114e+08, 97.9374
7047.49,0.708617,1.63126e-07,9.98457e-06,15.3275, 1.56125e+08, 99.6617
20459.3,0.748176,3.10821e-07,9.33774e-06,22.3816, 1.39067e+08, 93.9897
53345.5,0.733438,2.21759e-07,9.93767e-06,11.0647, 8.14817e+07, 105.916
16444.3,0.630551,2.72497e-07,9.97516e-06,10.8636, 3.41979e+07, 106.374
55425.9,0.734895,2.8796e-07,9.91353e-06,1.98689, 3.92597e+07, 142.512
55216.9,0.691539,2.88301e-07,9.99265e-06,24.311, 7.44494e+07, 93.1194
24410.9,0.734622,1.09145e-06,9.97793e-06,19.1324, 6.12672e+07, 95.1242
53391.4,0.703484,7.03015e-07,9.93776e-06,24.3639, 6.12652e+07, 92.6563
23383,0.853619,1.88491e-07,9.83507e-06,error, error, error
7170.39,0.721301,1.70745e-07,9.96746e-06,15.57, 1.55147e+08, 99.3783
32271.4,0.723361,2.76727e-07,9.60947e-06,23.4175, 1.10051e+08, 93.5322
4356.52,0.825143,1.70862e-07,9.8733e-06,17.7257, 3.68831e+08, 97.1882
39790.6,0.635351,2.71834e-07,9.83736e-06,17.833, 3.52855e+07, 97.0818
6637.48,0.837737,1.54817e-07,9.66178e-06,16.9777, 3.46956e+08, 97.8869
6529.71,0.83569,2.21104e-07,9.87517e-06,18.6897, 3.16917e+08, 96.3452
19775.8,0.687574,2.72453e-07,9.93641e-06,19.1941, 8.53326e+07, 95.949
13969.5,0.730888,3.07887e-07,9.98243e-06,20.3802, 1.40398e+08, 95.0828
52246.2,0.687641,3.96963e-07,9.84109e-06,24.6333, 6.88527e+07, 92.9182
56965,0.679312,1.8844e-07,9.65042e-06,21.7281, 5.64994e+07, 94.4667
3627.66,0.856151,2.66014e-07,9.82657e-06,16.0422, 3.21179e+08, 98.7078
20515.6,0.810557,1.82237e-07,9.83845e-06,5.48243, 1.34169e+08, 121.812
53373.1,0.689833,1.94268e-07,9.99082e-06,22.1581, 6.86113e+07, 94.2189
24747.4,0.72151,2.53654e-07,9.99829e-06,22.5786, 1.18996e+08, 93.9333
26002.6,0.725884,3.07887e-07,9.97121e-06,23.1306, 1.21423e+08, 93.59
57480.7,0.687601,3.62493e-07,9.93746e-06,24.6261, 6.96611e+07, 92.9361
52717.1,0.734622,2.78759e-07,9.97793e-06,3.99701, 5.51757e+07, 128.767
28761.5,0.720865,3.61047e-07,9.9688e-06,23.3788, 1.08521e+08, 93.4299
35226.6,0.690207,2.0953e-07,9.98089e-06,21.416, 8.22283e+07, 94.5735
25116.1,0.795348,2.46605e-07,9.91309e-06,1.56955, 6.17929e+07, 146.612
7047.49,0.83639,1.67664e-07,9.98457e-06,18.5253, 3.45612e+08, 96.52
28506.4,0.734872,2.47962e-07,9.91582e-06,23.0415, 1.26877e+08, 93.7083
21452.5,0.747719,2.71842e-07,9.83845e-06,22.5563, 1.48773e+08, 93.9089
61427.3,0.687713,1.49861e-06,9.93672e-06,21.8861, 3.40525e+07, 92.9945
6515.24,0.82894,1.52968e-07,9.96571e-06,17.2041, 3.54126e+08, 97.6744
7013.25,0.811158,2.47568e-07,9.99082e-06,19.3363, 2.72179e+08, 95.8442
55827.5,0.690927,3.93362e-07,9.83646e-06,24.5905, 6.98513e+07, 92.9334
54577.3,0.733038,2.87735e-07,9.98218e-06,3.00211, 4.7494e+07, 134.921
55653.4,0.687171,3.62493e-07,9.9485e-06,24.6597, 7.01313e+07, 92.8945
3370.17,0.857851,1.72862e-07,9.9187e-06,16.9599, 4.29146e+08, 97.8784
55262.8,0.687646,3.40492e-07,9.93753e-06,24.5815, 7.13973e+07, 92.9612
52345.2,0.687727,3.37463e-07,9.83299e-06,24.5074, 7.19318e+07, 93.0276
54265.7,0.745261,2.36203e-07,9.83845e-06,2.56866, 4.76473e+07, 138.113
56520,0.687741,4.65782e-07,9.99427e-06,24.8428, 6.40042e+07, 92.7748
13153.9,0.777734,3.07887e-07,9.98128e-06,21.157, 1.89835e+08, 94.6056
7047.49,0.834159,1.68103e-07,9.98457e-06,18.7191, 3.44333e+08, 96.3837
15026.2,0.72185,3.18759e-07,9.8783e-06,20.1926, 1.25532e+08, 95.2079
32844,0.844713,3.15852e-07,9.9154e-06,error, error, error
54904.2,0.612185,3.62493e-07,9.96565e-06,17.8151, 2.43918e+07, 97.0847
20275,0.663476,2.72453e-07,9.82644e-06,16.7047, 5.94203e+07, 98.0998
17216.5,0.770417,2.3908e-07,9.9723e-06,21.5188, 1.86583e+08, 94.4671
35712.3,0.703484,2.80144e-07,9.93776e-06,23.5175, 9.33516e+07, 93.4534
22349,0.763468,2.71834e-07,9.8385e-06,20.2013, 1.54262e+08, 95.2075
24364.7,0.734622,2.9659e-07,9.97793e-06,22.9393, 1.32209e+08, 93.6793
28707.9,0.811995,1.81416e-07,9.83412e-06,error, error, error
3499.74,0.853619,1.54108e-07,6.50431e-06,14.0283, 2.98238e+08, 101.328
42192.8,0.690927,3.35441e-07,9.96632e-06,23.9974, 7.9134e+07, 93.1863
22757.9,0.734341,5.3607e-07,9.93328e-06,21.9141, 9.7785e+07, 93.986
30741.3,0.821375,3.09595e-07,9.9682e-06,error, error, error
31449,0.714576,3.31793e-07,9.81672e-06,23.5385, 1.03037e+08, 93.4202
6056.09,0.822954,1.5627e-07,9.98235e-06,17.7804, 3.57878e+08, 97.1533
18493.8,0.634643,2.9666e-07,9.81307e-06,12.5151, 3.74393e+07, 103.478
3377.5,0.853527,1.60685e-07,9.84186e-06,16.3273, 4.35289e+08, 98.5181
16131.8,0.935222,1.60815e-07,9.96454e-06,error, error, error
53517,0.748674,3.62493e-07,9.83849e-06,error, error, error
25319.2,0.786585,2.9436e-07,9.97079e-06,1.64066, 5.80474e+07, 146.002
8995.89,0.82535,1.58801e-06,9.97805e-06,11.5128, 6.53383e+07, 103.679
16387.4,0.86015,2.68829e-07,9.55871e-06,error, error, error
20466.7,0.752761,1.78232e-07,9.84082e-06,21.9933, 1.57086e+08, 94.3045
7167.24,0.749691,1.81309e-07,9.99082e-06,17.055, 1.87435e+08, 97.7912
7070.74,0.876697,6.31605e-07,9.98421e-06,16.566, 1.66872e+08, 97.7736
39308.4,0.72986,2.81126e-07,9.93667e-06,19.6888, 1.05092e+08, 95.5794
4007.56,0.852055,1.60157e-07,9.82029e-06,16.8686, 4.18134e+08, 97.9815
7172.14,0.786585,1.83819e-07,9.41401e-06,18.8331, 2.51581e+08, 96.2946
24432.7,0.692342,3.34251e-07,9.99437e-06,21.24, 8.78594e+07, 94.5861
54736.1,0.602754,3.11041e-07,9.94702e-06,16.2527, 2.04324e+07, 98.671
54904.3,0.730767,4.00706e-07,9.98693e-06,1.6957, 3.25337e+07, 145.332
53293.4,0.686194,3.86453e-07,9.93672e-06,24.6762, 6.89121e+07, 92.9106
25768.8,0.728547,2.74257e-07,9.31949e-06,22.8754, 1.17907e+08, 93.7886
8797.62,0.857111,1.54925e-07,9.83325e-06,6.87038, 2.39959e+08, 116.736
25294.2,0.743218,2.74326e-07,9.81623e-06,22.6374, 1.3726e+08, 93.8514
53334.5,0.798659,3.86874e-07,9.93725e-06,error, error, error
63134.4,0.687274,6.09139e-07,9.66575e-06,25.0127, 5.42673e+07, 92.5456
28188.3,0.734872,1.82391e-07,9.91582e-06,22.2412, 1.22916e+08, 94.1744
34002.9,0.721329,3.09595e-07,9.90764e-06,23.3426, 1.08302e+08, 93.4894
23904.3,0.685125,3.37641e-07,9.97829e-06,20.4876, 8.05612e+07, 95.025
20459.3,0.748176,2.71815e-07,9.83757e-06,22.4986, 1.51163e+08, 93.9185
31416.3,0.722629,2.74521e-07,9.81014e-06,23.4001, 1.1238e+08, 93.5084
55252.2,0.746288,4.31264e-07,9.93644e-06,error, error, error
8516.7,0.812205,1.85577e-07,9.94995e-06,20.1368, 2.96705e+08, 95.3521
21177.1,0.693385,3.3537e-07,9.96632e-06,20.3845, 8.98921e+07, 95.1077
52785,0.674422,1.35982e-06,9.978e-06,20.3805, 3.27741e+07, 94.1836
25565.5,0.786585,1.83819e-07,9.96696e-06,10.3478, 1.43252e+08, 107.342
40662.7,0.703484,2.38431e-07,9.90527e-06,23.2285, 8.82549e+07, 93.6232
28303.4,0.852542,3.09974e-07,9.96733e-06,error, error, error
8692.12,0.810566,1.7028e-07,9.83462e-06,19.8336, 2.97212e+08, 95.5841
54869.4,0.662824,4.00706e-07,9.98693e-06,23.599, 5.2309e+07, 93.3234
12135,0.748504,2.72453e-07,9.83858e-06,20.3729, 1.6753e+08, 95.1271
27666.9,0.713541,1.73989e-07,9.91582e-06,21.4109, 1.04488e+08, 94.6221
24780.9,0.734385,9.51792e-07,9.93667e-06,19.97, 6.70692e+07, 94.6665
16192,0.747795,2.68829e-07,9.64799e-06,21.6891, 1.56066e+08, 94.3803
42815.8,0.723886,2.74334e-07,9.81623e-06,21.3772, 9.93777e+07, 94.5114
35278.7,0.710845,2.88383e-07,9.81198e-06,23.6652, 9.91275e+07, 93.3723
8221.93,0.756605,2.48468e-07,9.71269e-06,18.3196, 1.87301e+08, 96.6197
7167.24,0.811744,1.81995e-07,9.83308e-06,19.8294, 3.03448e+08, 95.5597
12962.9,0.786585,1.83819e-07,9.91106e-06,21.1791, 2.31012e+08, 94.7281
32844,0.718666,3.15852e-07,9.94549e-06,23.5361, 1.07572e+08, 93.4085
6529.71,0.901422,1.60747e-07,9.9772e-06,2.34689, 1.79052e+08, 139.649
7047.49,0.834117,1.67664e-07,9.98457e-06,18.6683, 3.44407e+08, 96.4048
20459.3,0.748176,2.72793e-07,9.83845e-06,22.4971, 1.51095e+08, 93.9472
56946.9,0.747719,2.03462e-07,9.56392e-06,3.39183, 5.35795e+07, 132.568
53793.7,0.647549,2.88261e-07,9.93753e-06,21.5226, 4.30719e+07, 94.4469
28384.5,0.733326,3.07905e-07,9.93718e-06,22.8438, 1.2359e+08, 93.7262
27410.6,0.7487,2.48399e-07,9.91638e-06,22.0233, 1.38754e+08, 94.1987
51907.8,0.710845,2.9666e-07,9.81198e-06,21.1922, 8.4476e+07, 94.599
22990,0.733786,2.80688e-07,9.91309e-06,22.8035, 1.33828e+08, 93.7849
31378.3,0.734572,2.88314e-07,9.97793e-06,22.1017, 1.21282e+08, 94.0968
26527,0.811993,1.18186e-06,9.9665e-06,11.4139, 6.37512e+07, 103.967
30962.1,0.722629,2.73764e-07,9.80755e-06,23.3795, 1.12814e+08, 93.5351
20275,0.725497,2.72069e-07,9.82548e-06,21.9779, 1.27429e+08, 94.2029
674.785,0.917613,1.60697e-07,9.95166e-06,7.32536, 5.47384e+08, 115.257
8091.01,0.821348,1.76932e-07,9.96738e-06,20.1329, 3.13498e+08, 95.3578
54846.4,0.656854,3.62823e-07,9.9483e-06,23.0757, 4.96125e+07, 93.6297
8540.89,0.811658,1.67525e-07,9.83457e-06,19.5067, 3.01784e+08, 95.803
24780.9,0.734385,2.81126e-07,9.87402e-06,22.9595, 1.31326e+08, 93.6944
25839.8,0.730888,3.07887e-07,9.98128e-06,23.0752, 1.25971e+08, 93.6321
28389,0.733551,2.47965e-07,9.91582e-06,23.0686, 1.25873e+08, 93.6963
22637.5,0.640321,3.6194e-07,9.9119e-06,14.9742, 4.11315e+07, 99.8667
17245.4,0.687601,1.7247e-07,9.9577e-06,17.6948, 8.76793e+07, 97.279
46519.7,0.687722,3.37061e-07,9.96313e-06,24.2331, 7.49345e+07, 93.1319
35394.6,0.710845,2.87959e-07,9.81198e-06,23.6702, 9.90394e+07, 93.4091
2754.14,0.854397,8.65722e-07,9.96603e-06,6.74409, 1.12567e+08, 116.54
33226.7,0.694117,1.14507e-06,9.91555e-06,18.9703, 4.38608e+07, 95.352
53641.6,0.748504,2.71557e-07,9.57323e-06,error, error, error
24410.9,0.733503,1.77807e-07,9.99782e-06,21.9274, 1.27404e+08, 94.3211
8045.43,0.812205,8.80669e-07,9.96064e-06,14.4339, 1.05314e+08, 99.9172
27112.4,0.734872,2.49569e-07,9.91582e-06,23.0542, 1.28424e+08, 93.6851
16122.9,0.770417,1.74026e-07,9.87135e-06,21.4193, 1.98689e+08, 94.6003
15120.2,0.743218,1.57733e-07,9.81517e-06,19.8273, 1.8648e+08, 95.6031
16143.7,0.730778,4.02158e-07,9.96633e-06,20.6466, 1.19863e+08, 94.847
62596,0.687869,3.99888e-07,9.97586e-06,24.3923, 6.61589e+07, 92.9558
21585.9,0.721283,2.90587e-07,9.8387e-06,22.1868, 1.21087e+08, 94.1031
53446.7,0.687607,3.86453e-07,9.93672e-06,24.6794, 6.97689e+07, 92.8996
51746.9,0.687741,3.60847e-07,9.99906e-06,24.5835, 7.22819e+07, 92.9318
16406.7,0.746174,2.72545e-07,9.82592e-06,21.7911, 1.5656e+08, 94.2979
41107.9,0.703484,3.34493e-07,9.00459e-06,23.9075, 8.108e+07, 93.3105
7047.49,0.83639,1.65524e-07,9.98457e-06,18.2465, 3.45807e+08, 96.7494
53959.9,0.734236,2.88314e-07,8.62326e-06,8.47434, 6.58378e+07, 111.951
32510.9,0.718666,3.16005e-07,9.9157e-06,23.5387, 1.07598e+08, 93.4098
58913.8,0.687869,4.09017e-07,9.56947e-06,24.7741, 6.45328e+07, 92.8482
19587.3,0.685853,2.71815e-07,8.70263e-06,17.7807, 7.02679e+07, 97.1187
20466.7,0.752761,1.78704e-07,9.83931e-06,22.0149, 1.56425e+08, 94.2723
21341.9,0.687722,3.94491e-07,9.97829e-06,19.6381, 7.84392e+07, 95.5232
16054.7,0.690927,1.83046e-07,9.90759e-06,16.9395, 8.39784e+07, 97.9916
28389,0.733326,1.77743e-07,9.93752e-06,22.2582, 1.21162e+08, 94.1417
54991.7,0.687171,2.02844e-07,9.93692e-06,22.3141, 6.76311e+07, 94.1336
7053.69,0.810552,2.18376e-07,9.97517e-06,19.2274, 2.95e+08, 95.9487
28303.4,0.721584,2.70849e-07,9.98999e-06,23.1991, 1.16547e+08, 93.6029
20466.7,0.752761,1.58507e-07,9.92891e-06,19.8387, 1.75221e+08, 95.5804
14822.8,0.691322,4.08894e-07,9.85152e-06,17.0048, 8.02554e+07, 97.6367
23035.2,0.734794,3.42645e-07,9.91309e-06,22.8151, 1.27252e+08, 93.6957
31719.8,0.72151,2.50111e-07,9.15095e-06,23.13, 1.01848e+08, 93.7029
53441,0.687727,2.61137e-07,9.94826e-06,23.9734, 6.9891e+07, 93.3173
36183.5,0.611346,3.62493e-07,9.93644e-06,14.5224, 2.43375e+07, 100.555
54040,0.688571,3.94491e-07,9.97829e-06,24.6946, 6.99444e+07, 92.8925
26897,0.725934,4.88265e-07,9.92824e-06,22.7675, 9.55007e+07, 93.591
8565.39,0.726096,3.07887e-07,9.94948e-06,16.7564, 1.39484e+08, 97.9585
8768.43,0.870519,1.71491e-07,9.99204e-06,4.91442, 2.10116e+08, 124.409
26002.6,0.688581,1.17019e-06,9.97229e-06,16.5184, 4.15714e+07, 97.4326
3371.43,0.857942,1.72862e-07,9.99045e-06,17.0025, 4.3226e+08, 97.8381
16415.2,0.876435,1.70705e-07,9.96746e-06,error, error, error
31919,0.687134,3.34162e-07,9.93796e-06,22.402, 7.95354e+07, 93.9462
53293.4,0.688051,3.8862e-07,9.93628e-06,24.6758, 6.99613e+07, 92.9094
4356.52,0.877318,1.70862e-07,9.93595e-06,17.3345, 4.23514e+08, 97.5174
24281.4,0.836606,2.88314e-07,9.97793e-06,error, error, error
49832.5,0.691334,3.32976e-07,9.98565e-06,24.4271, 7.65644e+07, 93.0337
55191.1,0.734556,2.67641e-07,9.93845e-06,4.07185, 5.45474e+07, 128.578
62020.8,0.770417,6.1081e-07,9.91685e-06,error, error, error
16406.7,0.763092,1.78395e-07,9.97882e-06,21.7176, 1.83597e+08, 94.4283
25682.5,0.734556,1.99944e-06,9.91309e-06,15.4754, 3.71751e+07, 97.5523
26392.8,0.729908,1.60685e-07,9.84186e-06,20.6672, 1.36836e+08, 95.0791
54834.3,0.708097,3.15699e-07,9.98684e-06,18.9695, 7.96088e+07, 96.0254
20791.3,0.690927,3.36266e-07,9.96632e-06,20.056, 8.74586e+07, 95.293
6695.21,0.812277,2.92502e-07,9.99487e-06,18.7955, 2.51867e+08, 96.1905
35749.9,0.710845,1.8466e-07,9.81198e-06,21.9442, 9.10943e+07, 94.3042
9934.85,0.821554,1.79405e-07,9.83412e-06,20.349, 2.88026e+08, 95.2299
31425.2,0.722629,2.74426e-07,9.81014e-06,23.4002, 1.12369e+08, 93.508
24914.7,0.917704,2.77331e-07,9.95272e-06,error, error, error
54904.3,0.687648,3.06436e-07,9.98663e-06,24.4501, 7.23375e+07, 93.042
4472.13,0.834159,1.76696e-07,9.56943e-06,17.9897, 3.60463e+08, 96.958
31626.4,0.734387,3.09153e-07,9.91091e-06,21.7113, 1.17906e+08, 94.308
62981.2,0.687707,1.98513e-07,9.31547e-06,22.371, 6.1082e+07, 94.0903
54869.4,0.687593,4.67427e-07,9.93186e-06,24.7624, 6.37912e+07, 92.7957
5816.44,0.837737,1.63808e-07,9.67377e-06,18.1188, 3.61063e+08, 96.8707
29672.2,0.72151,3.07905e-07,9.99829e-06,23.4005, 1.14056e+08, 93.4918
20275,0.748504,2.74593e-07,9.82657e-06,22.4755, 1.51435e+08, 93.9358
24523.5,0.690013,3.32976e-07,9.97762e-06,21.0678, 8.54478e+07, 94.6645
48323.4,0.76248,3.36908e-07,9.97814e-06,error, error, error
45589.3,0.703484,3.03357e-07,9.90527e-06,23.9832, 8.71374e+07, 93.2195
53684.7,0.750069,3.62493e-07,9.50635e-06,error, error, error
22269.8,0.734454,1.68904e-07,9.9146e-06,21.3377, 1.43234e+08, 94.6479
54239.7,0.748501,2.72472e-07,9.79694e-06,error, error, error
54529.7,0.767132,1.68327e-07,9.96738e-06,error, error, error
16192,0.734524,2.68829e-07,9.99724e-06,21.363, 1.46092e+08, 94.5558
26575.7,0.725884,1.6819e-07,9.97366e-06,21.472, 1.27003e+08, 94.6051
54392.8,0.686714,3.6147e-07,9.66098e-06,24.6162, 6.84451e+07, 92.9448
29041.2,0.733326,2.48853e-07,9.94084e-06,23.1072, 1.24854e+08, 93.6759
23139,0.72202,3.0891e-07,9.98128e-06,22.6513, 1.2078e+08, 93.8321
46336,0.690927,4.18718e-07,9.96843e-06,24.376, 7.20638e+07, 93.002
674.785,0.806284,1.60697e-07,9.95166e-06,4.92821, 3.62132e+08, 124.37
